"Handle","Title","Body (HTML)","Vendor","Product Category","Type","Tags","Published","Option1 Name","Option1 Value","Variant SKU","Variant Grams","Variant Inventory Tracker","Variant Inventory Qty","Variant Inventory Policy","Variant Fulfillment Service","Variant Price","Variant Compare At Price","Variant Requires Shipping","Variant Taxable","Image Src","Image Position","Image Alt Text","Gift Card","SEO Title","SEO Description","Status"
"vitamin-d","Vitamin D Self Test","<p>Vitamin D is essential for bone health, immune function, and muscle strength. Deficiency is extremely common in India due to indoor lifestyles. Our test detects 25-hydroxy Vitamin D levels via a lateral flow immunoassay from a finger-prick sample.</p><ul><li>Results in 10 min</li><li>Finger-prick</li><li>CE & IVD certified</li><li>Shade card</li></ul>","QUIQ","Health & Beauty > Health Care","Wellness & Lifestyle","Wellness & Lifestyle","TRUE","Title","Default Title","vitamin-d","30","shopify","100","deny","manual","99","249","TRUE","TRUE","https://quiqhealth.in/product/vitamin-d/1.png","1","Vitamin D Self Test","FALSE","Vitamin D Self Test","Check your Vitamin D levels at home in minutes.","active"
"vitamin-b12","Vitamin B12 Test","<p>Vitamin B12 is vital for nerve function, red blood cell formation, and DNA synthesis. Over 80% of Indian vegetarians are B12 deficient. Our test detects deficiency early so you can act.</p><ul><li>Results in 10 min</li><li>B12 detection</li><li>CE & IVD certified</li><li>Finger-prick</li></ul>","QUIQ","Health & Beauty > Health Care","Wellness & Lifestyle","Wellness & Lifestyle","TRUE","Title","Default Title","vitamin-b12","30","shopify","0","continue","manual","89","229","TRUE","TRUE","https://quiqhealth.in/product/vitamin-b12/1.webp","1","Vitamin B12 Test","FALSE","Vitamin B12 Test","Check B12 levels — crucial for nerve health.","active"
"iron-deficiency","Iron Deficiency (Ferritin) Test","<p>Iron deficiency affects over 50% of Indian women. Our test detects Ferritin — the protein that stores iron. Low Ferritin is the earliest indicator, even before anemia develops.</p><ul><li>Results in 10 min</li><li>Ferritin detection</li><li>CE & IVD certified</li><li>No lab visit</li></ul>","QUIQ","Health & Beauty > Health Care","Wellness & Lifestyle","Wellness & Lifestyle","TRUE","Title","Default Title","iron-deficiency","30","shopify","100","deny","manual","89","199","TRUE","TRUE","https://quiqhealth.in/product/iron-deficiency/1.webp","1","Iron Deficiency (Ferritin) Test","FALSE","Iron Deficiency (Ferritin) Test","Detect iron deficiency anemia quickly at home.","active"
"tsh","TSH Thyroid Test","<p>TSH is the key marker for thyroid function. Abnormal levels indicate hypo/hyperthyroidism — extremely common in India. Our test uses lateral flow technology from a finger-prick sample.</p><ul><li>Results in 10 min</li><li>TSH detection</li><li>CE & IVD certified</li><li>Clinically accurate</li></ul>","QUIQ","Health & Beauty > Health Care","Wellness & Lifestyle","Wellness & Lifestyle","TRUE","Title","Default Title","tsh","30","shopify","100","deny","manual","79","199","TRUE","TRUE","https://quiqhealth.in/product/tsh/1.webp","1","TSH Thyroid Test","FALSE","TSH Thyroid Test","Monitor thyroid function from home.","active"
"hba1c","HbA1c Diabetes Test","<p>HbA1c reflects your average blood sugar over the past 2-3 months. India is the diabetes capital of the world with 100M+ diabetics. This test helps monitor glucose control without fasting.</p><ul><li>Results in 10 min</li><li>HbA1c detection</li><li>CE & IVD certified</li><li>3-month average</li></ul>","QUIQ","Health & Beauty > Health Care","Wellness & Lifestyle","Wellness & Lifestyle","TRUE","Title","Default Title","hba1c","30","shopify","0","continue","manual","99","299","TRUE","TRUE","https://quiqhealth.in/product/hba1c/1.webp","1","HbA1c Diabetes Test","FALSE","HbA1c Diabetes Test","Monitor your average blood sugar levels over 3 months.","active"
"cholesterol","Cholesterol Test","<p>High cholesterol is a silent killer — no symptoms until it's too late. India sees rising heart disease rates. Our rapid test measures total cholesterol from a finger-prick sample.</p><ul><li>Results in 10 min</li><li>Total cholesterol</li><li>CE & IVD certified</li><li>No fasting needed</li></ul>","QUIQ","Health & Beauty > Health Care","Wellness & Lifestyle","Wellness & Lifestyle","TRUE","Title","Default Title","cholesterol","30","shopify","0","continue","manual","89","199","TRUE","TRUE","https://quiqhealth.in/product/cholesterol/1.webp","1","Cholesterol Test","FALSE","Cholesterol Test","Check total cholesterol levels at home.","active"
"psa","PSA Prostate Test","<p>PSA is produced by the prostate gland. Elevated levels may indicate enlargement, inflammation, or cancer. Regular screening is recommended for men over 50 (or 40 with family history).</p><ul><li>Results in 10 min</li><li>PSA marker</li><li>CE & IVD certified</li><li>Men's health</li></ul>","QUIQ","Health & Beauty > Health Care","Cancer Markers","Cancer Markers","TRUE","Title","Default Title","psa","30","shopify","0","continue","manual","99","299","TRUE","TRUE","https://quiqhealth.in/product/psa/1.webp","1","PSA Prostate Test","FALSE","PSA Prostate Test","Screen for prostate health at home.","active"
"crp","CRP Inflammation Test","<p>C-Reactive Protein (CRP) is produced by the liver in response to inflammation. Elevated CRP can indicate infections, autoimmune diseases, or cancer. A key marker for overall health assessment.</p><ul><li>Results in 10 min</li><li>CRP marker</li><li>CE & IVD certified</li><li>Inflammation screening</li></ul>","QUIQ","Health & Beauty > Health Care","Cancer Markers","Cancer Markers","TRUE","Title","Default Title","crp","30","shopify","100","deny","manual","89","199","TRUE","TRUE","https://quiqhealth.in/product/crp/1.webp","1","CRP Inflammation Test","FALSE","CRP Inflammation Test","Detect inflammation levels in your body.","active"
"dengue","Dengue NS1 + IgG/IgM Test","<p>Dengue is common in India during monsoon. Our combo test detects NS1 antigen (active infection in first 5 days) and IgG/IgM antibodies (current or past infection) from a single sample.</p><ul><li>Results in 15 min</li><li>NS1 + Antibody</li><li>CE & IVD certified</li><li>Early detection</li></ul>","QUIQ","Health & Beauty > Health Care","Infectious Diseases","Infectious Diseases","TRUE","Title","Default Title","dengue","30","shopify","0","continue","manual","79","199","TRUE","TRUE","https://quiqhealth.in/product/dengue/1.webp","1","Dengue NS1 + IgG/IgM Test","FALSE","Dengue NS1 + IgG/IgM Test","Rapid dengue detection at home.","active"
"malaria","Malaria Pf/Pv Test","<p>Malaria remains endemic in many parts of India. Our rapid test differentiates between P. falciparum (the more dangerous species) and P. vivax from a finger-prick blood sample.</p><ul><li>Results in 15 min</li><li>Pf & Pv detection</li><li>CE & IVD certified</li><li>Rapid screening</li></ul>","QUIQ","Health & Beauty > Health Care","Infectious Diseases","Infectious Diseases","TRUE","Title","Default Title","malaria","30","shopify","0","continue","manual","79","199","TRUE","TRUE","https://quiqhealth.in/product/malaria/1.webp","1","Malaria Pf/Pv Test","FALSE","Malaria Pf/Pv Test","Rapid malaria screening for P. falciparum & P. vivax.","active"
